method,dataset,mean,std,num_samples,rank
FullyFactorized,adult,0.9582453,0.0022119345450485,20,5
FullyFactorized,beijing,0.95435905,0.0017891814792774,20,9
FullyFactorized,default,0.6958313999999999,0.0010367330976627,20,8
FullyFactorized,diabetes,0.98118265,0.0010780076786661,20,3
FullyFactorized,magic,0.8616187,0.0023597137002967,20,11
FullyFactorized,news,0.8374918999999998,0.0021535322489733,20,10
FullyFactorized,shoppers,0.9709173,0.0022546883808492,20,5
ShallowMixture,adult,0.9931947,0.001811964014398,20,2
ShallowMixture,beijing,0.99526415,0.0012477038394798,20,1
ShallowMixture,default,0.9563016,0.0018903501875522,20,4
ShallowMixture,diabetes,0.97113875,0.0015197250054221,20,5
ShallowMixture,magic,0.98342305,0.0029321691355502,20,4
ShallowMixture,news,0.9740910500000002,0.0009992915635325,20,4
ShallowMixture,shoppers,0.9816120499999998,0.002237185555088,20,4
SimpleFactors,adult,0.95783805,0.0023820797740629,20,6
SimpleFactors,beijing,0.97635,0.0016580966894541,20,6
SimpleFactors,default,0.6955990999999999,0.001121958527238,20,9
SimpleFactors,diabetes,0.9807974499999998,0.0016133095267019,20,4
SimpleFactors,magic,0.8679657000000001,0.0026644794119756,20,10
SimpleFactors,news,0.92792945,0.0028072976418612,20,7
SimpleFactors,shoppers,0.9661215,0.0027542798753174,20,6
TabDiff,adult,0.9905122,0.0019446838086921,20,3
TabDiff,beijing,0.9814184,0.0029163052038676,20,5
TabDiff,default,0.986146,0.0041137486170414,20,3
TabDiff,diabetes,0.9429328,0.0019381791129006,20,6
TabDiff,magic,0.9939414999999998,0.0022349103714513,20,3
TabDiff,news,0.91411835,0.0016758047328467,20,9
TabDiff,shoppers,0.99125355,0.0034263285932536,20,2
TabPC,adult,0.9953077,0.0010293689993593,20,1
TabPC,beijing,0.99430565,0.0020356217277335,20,2
TabPC,default,0.9947923,0.0017622689352082,20,1
TabPC,diabetes,0.9926095499999998,0.0021031861912971,20,1
TabPC,magic,0.9942602,0.0018580244063889,20,1
TabPC,news,0.9927739,0.0024380678480261,20,1
TabPC,shoppers,0.99434955,0.002696081395675,20,1
CoDi,adult,0.78290295,0.0040308312904542,20,8
CoDi,beijing,0.9641416,0.002815296065575,20,8
CoDi,default,0.82523075,0.0015460216473938,20,7
CoDi,diabetes,0.4351068,0.0018036898321292,20,9
CoDi,magic,0.8587093000000001,0.0036254590141329,20,12
CoDi,news,0.9254423500000002,0.0029646056145801,20,8
CoDi,shoppers,0.8879436500000001,0.0051523488693073,20,9
CTGAN,adult,0.7611106999999999,0.0031003447872776,20,9
CTGAN,beijing,0.97413305,0.0011001289146947,20,7
CTGAN,default,0.6773979,0.0023928295494312,20,10
CTGAN,diabetes,0.82657095,0.0031269116338312,20,8
CTGAN,magic,0.8983943999999999,0.0028034051737879,20,8
CTGAN,news,0.979948,0.0010719208042231,20,2
CTGAN,shoppers,0.72245085,0.0049576871546805,20,10
GReaT,adult,0.5935196,0.0026674391047927,10,11
GReaT,beijing,0.9833135,0.0013583521266593,2,4
GReaT,default,,,0,12
GReaT,diabetes,,,0,12
GReaT,magic,0.8680790000000002,0.0028144848084226,20,9
GReaT,news,,,0,12
GReaT,shoppers,,,0,12
STaSy,adult,0.913513,0.0030870723142946,20,7
STaSy,beijing,0.93535485,0.0030261152146118,20,10
STaSy,default,0.90282105,0.0025570891237581,20,5
STaSy,diabetes,0.0,0.0,19,11
STaSy,magic,0.9783805,0.0033631776092824,20,6
STaSy,news,0.9773132,0.0016602853781329,20,3
STaSy,shoppers,0.9462876499999998,0.006182123330301,20,7
TabDDPM,adult,0.3017283999999999,0.0012524465068942,20,12
TabDDPM,beijing,0.02219815,0.0002310026828278,20,12
TabDDPM,default,0.0135587,0.0002781427312502,20,11
TabDDPM,diabetes,0.8468351499999999,0.001015034107542,20,7
TabDDPM,magic,0.97989355,0.0037878527520288,20,5
TabDDPM,news,0.0,0.0,20,11
TabDDPM,shoppers,0.938997,0.0054184682628755,20,8
TabSyn,adult,0.9869383,0.0033237238801649,20,4
TabSyn,beijing,0.9874859500000002,0.0022705993522462,20,3
TabSyn,default,0.99154735,0.0019429577906675,20,2
TabSyn,diabetes,0.98141075,0.0020802502348212,20,2
TabSyn,magic,0.9939537000000002,0.0020457178922659,20,2
TabSyn,news,0.9388177,0.0033087160667736,20,6
TabSyn,shoppers,0.98865185,0.0051630864216443,20,3
TVAE,adult,0.6180579500000001,0.00161236522815,20,10
TVAE,beijing,0.8016351,0.0023319037377441,20,11
TVAE,default,0.86142285,0.0028065129192272,20,6
TVAE,diabetes,0.2067175499999999,0.0013333596456833,20,10
TVAE,magic,0.97479365,0.0033016776800032,20,7
TVAE,news,0.9556905,0.0027768635184322,20,5
TVAE,shoppers,0.6644618,0.006000053180466,20,11
